Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,30.417458,30.654650,30.379507,30.483871,25.348211,16913643
2017-05-31,30.626186,31.110058,30.483871,30.977230,25.758453,30585499
2017-06-01,30.996204,31.166983,30.853889,31.034157,25.805788,25184803
2017-06-02,31.091082,31.195446,30.777988,30.872866,25.671667,21984543
2017-06-05,30.844402,30.910816,30.550285,30.692600,25.521774,14994836
2017-06-06,30.645161,30.711575,30.398481,30.426945,25.300873,18831186
2017-06-07,30.436434,30.512335,30.265656,30.360531,25.245646,17479641
2017-06-08,30.360531,30.455408,30.047438,30.123341,25.048418,35620773
2017-06-09,30.180265,31.119545,30.113852,31.091082,25.853125,31764609
2017-06-12,31.091082,31.394688,31.024668,31.024668,25.797897,30435515
2017-06-13,31.034157,31.100569,30.853889,30.910816,25.703228,18093913
2017-06-14,30.920303,31.081594,30.796965,31.015181,25.790009,14568177
2017-06-15,30.948767,31.337761,30.891842,31.129032,25.884680,19952115
2017-06-16,31.290323,31.432638,31.129032,31.280834,26.010904,33600044
2017-06-19,31.252373,31.546490,31.223909,31.518026,26.208138,21922146
2017-06-20,31.508539,32.020874,31.451612,31.840607,26.476374,27473775
2017-06-21,31.859583,32.352940,31.859583,32.144215,26.728828,27134492
2017-06-22,32.210625,32.713470,32.182163,32.314991,26.870840,23352529
2017-06-23,32.333965,32.466793,32.229603,32.419353,26.957617,31668800
2017-06-26,32.409866,32.457306,32.229603,32.296017,26.855061,14937604
2017-06-27,32.381405,32.381405,32.020874,32.039848,26.642048,16089942
2017-06-28,32.125237,32.248577,31.925997,32.020874,26.626270,15594035
2017-06-29,32.020874,32.134724,31.660341,31.907021,26.531597,15724837
2017-06-30,32.001900,32.068310,31.793169,31.869070,26.500044,14242175
2017-07-03,31.764706,32.229603,31.755219,32.087288,26.681499,8971964
2017-07-05,32.201138,32.210625,31.774195,31.916510,26.539494,17072270
2017-07-06,31.916510,31.944971,31.442125,31.518026,26.208138,14676318
2017-07-07,31.546490,31.650854,31.328274,31.641365,26.310699,17914522
2017-07-10,31.650854,31.812143,31.537003,31.698292,26.358032,14256720
